player,dunk_tot,dunk_pct,rim_tot,rim_pct,rim_asted,other2pt_tot,other2pt_pct,other2pt_asted,3pt_tot,3pt_pct,3pt_asted,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
John Wall,33-36,91.7%,116-182,63.7%,27.6%,40-127,31.5%,7.5%,36-113,31.9%,66.7%,37,37,34.8,5.5,11.8,0.461,4.5,8.8,0.509,1.0,3.1,0.325,4.7,6.3,0.754,0.8,3.5,4.3,6.5,1.8,0.5,4.0,1.9,16.6
Evan Turner,18-19,94.7%,102-130,78.5%,18.6%,106-258,41.1%,17.0%,20-55,36.4%,75.0%,101,94,32.8,5.3,10.6,0.502,4.8,9.1,0.525,0.5,1.5,0.362,3.8,5.0,0.758,1.5,5.3,6.8,4.1,1.6,0.7,3.5,2.7,15.0
Derrick Favors,53-56,94.6%,137-175,78.3%,54.7%,40-112,35.7%,65.0%,0-1,0.0%,0%,36,35,27.5,5.0,8.1,0.611,5.0,8.1,0.613,0.0,0.0,0.0,2.5,4.0,0.629,3.0,5.4,8.4,1.0,0.9,2.1,2.5,2.6,12.4
Wes Johnson,37-41,90.2%,93-129,72.1%,55.9%,48-135,35.6%,64.6%,41-106,38.7%,87.8%,35,35,35.0,5.9,11.8,0.502,4.5,8.3,0.54,1.5,3.5,0.415,3.2,4.1,0.772,2.1,6.4,8.5,2.2,1.7,1.8,2.3,2.1,16.5
DeMarcus Cousins,53-57,93.0%,144-189,76.2%,54.2%,57-163,35.0%,31.6%,1-6,16.7%,100.0%,38,37,23.5,5.4,9.7,0.558,5.4,9.6,0.565,0.0,0.2,0.167,4.3,7.1,0.604,4.1,5.8,9.8,1.0,1.0,1.8,2.1,3.2,15.1
Ekpe Udoh,30-32,93.8%,78-109,71.6%,42.3%,100-249,40.2%,35.0%,7-26,26.9%,100.0%,36,36,35.1,5.3,10.8,0.49,5.1,10.1,0.505,0.2,0.7,0.269,3.1,4.5,0.685,3.6,6.2,9.8,2.7,0.8,3.7,2.4,2.4,13.9
Greg Monroe,21-22,95.5%,154-238,64.7%,44.2%,33-102,32.4%,27.3%,7-26,26.9%,100.0%,65,65,32.6,5.3,9.8,0.543,5.2,9.3,0.558,0.1,0.5,0.273,3.7,5.5,0.677,2.1,6.1,8.2,3.2,1.5,1.5,2.9,2.5,14.5
Al-Farouq Aminu,46-48,95.8%,112-173,64.7%,44.6%,37-135,27.4%,29.7%,18-66,27.3%,94.4%,62,60,30.1,5.0,10.6,0.476,4.6,8.9,0.522,0.4,1.7,0.238,3.9,5.7,0.687,3.3,6.1,9.4,1.4,1.2,1.3,2.9,2.8,14.4
Gordon Hayward,19-20,95.0%,89-128,69.5%,53.9%,34-77,44.2%,38.2%,43-149,28.9%,95.3%,69,69,33.1,4.3,9.2,0.47,2.6,4.6,0.569,1.7,4.6,0.369,4.1,4.9,0.824,1.7,5.7,7.4,1.8,1.3,0.9,2.0,2.1,14.4
Paul George,18-22,81.8%,70-106,66.0%,32.9%,22-82,26.8%,40.9%,58-163,35.6%,86.2%,63,63,33.9,5.1,11.4,0.447,3.1,6.5,0.485,1.9,4.9,0.396,3.4,4.2,0.803,1.9,4.8,6.7,2.4,2.0,0.9,2.7,2.8,15.5
