player,dunk_tot,dunk_pct,rim_tot,rim_pct,rim_asted,other2pt_tot,other2pt_pct,other2pt_asted,3pt_tot,3pt_pct,3pt_asted
John Wall,33-36,91.7%,116-182,63.7%,27.6%,40-127,31.5%,7.5%,36-113,31.9%,66.7%
Evan Turner,18-19,94.7%,102-130,78.5%,18.6%,106-258,41.1%,17.0%,20-55,36.4%,75.0%
Derrick Favors,53-56,94.6%,137-175,78.3%,54.7%,40-112,35.7%,65.0%,0-1,0.0%,0%
Wes Johnson,37-41,90.2%,93-129,72.1%,55.9%,48-135,35.6%,64.6%,41-106,38.7%,87.8%
DeMarcus Cousins,53-57,93.0%,144-189,76.2%,54.2%,57-163,35.0%,31.6%,1-6,16.7%,100.0%
Ekpe Udoh,30-32,93.8%,78-109,71.6%,42.3%,100-249,40.2%,35.0%,7-26,26.9%,100.0%
Greg Monroe,21-22,95.5%,154-238,64.7%,44.2%,33-102,32.4%,27.3%,7-26,26.9%,100.0%
Al-Farouq Aminu,46-48,95.8%,112-173,64.7%,44.6%,37-135,27.4%,29.7%,18-66,27.3%,94.4%
Gordon Hayward,19-20,95.0%,89-128,69.5%,53.9%,34-77,44.2%,38.2%,43-149,28.9%,95.3%
Paul George,18-22,81.8%,70-106,66.0%,32.9%,22-82,26.8%,40.9%,58-163,35.6%,86.2%
Cole Aldrich,32-33,97.0%,92-126,73.0%,70.7%,57-139,41.0%,61.4%,0-0,0.0%,0%
Xavier Henry,17-17,100.0%,60-90,66.7%,53.3%,33-99,33.3%,36.4%,69-165,41.8%,89.9%
Ed Davis,26-27,96.3%,42-50,84.0%,69.0%,61-132,46.2%,65.6%,0-0,0.0%,0%
Patrick Patterson,65-70,92.9%,136-165,82.4%,64.7%,50-127,39.4%,60.0%,23-67,34.3%,95.7%
Kyrie Irving,0-0,0%,26-39,66.7%,3.8%,11-26,42.3%,0.0%,18-39,46.2%,50.0%
Derrick Williams,56-60,93.3%,135-188,71.8%,58.5%,49-118,41.5%,38.8%,42-74,56.8%,92.9%
Tristan Thompson,70-75,93.3%,118-163,72.4%,55.9%,54-152,35.5%,16.7%,0-0,0.0%,0%
Brandon Knight,5-6,83.3%,65-117,55.6%,27.7%,65-165,39.4%,18.5%,87-231,37.7%,77.0%
Kemba Walker,3-3,100.0%,115-196,58.7%,20.0%,126-316,39.9%,24.6%,75-227,33.0%,66.7%
Jimmer Fredette,2-3,66.7%,109-151,72.2%,29.4%,112-299,37.5%,8.9%,121-308,39.3%,45.5%
Klay Thompson,8-8,100.0%,66-110,60.0%,15.2%,76-195,39.0%,32.9%,98-246,39.8%,73.5%
Alec Burks,26-28,92.9%,122-186,65.6%,40.2%,93-235,39.6%,19.4%,28-95,29.5%,57.1%
Markieff Morris,47-50,94.0%,128-168,76.2%,64.8%,42-104,40.4%,57.1%,25-59,42.4%,100.0%
Marcus Morris,31-33,93.9%,114-147,77.6%,66.7%,100-198,50.5%,43.0%,26-76,34.2%,96.2%
Anthony Davis,96-98,98.0%,152-174,87.4%,61.2%,55-143,38.5%,41.8%,3-20,15.0%,100.0%
Michael Kidd-Gilchrist,34-36,94.4%,100-143,69.9%,45.0%,47-132,35.6%,31.9%,13-51,25.5%,100.0%
Bradley Beal,18-20,90.0%,89-137,65.0%,34.8%,23-70,32.9%,30.4%,63-186,33.9%,90.5%
Dion Waiters,26-29,89.7%,90-144,62.5%,37.8%,39-100,39.0%,28.2%,41-113,36.3%,78.0%
Thomas Robinson,70-83,84.3%,169-262,64.5%,62.7%,80-229,34.9%,50.0%,7-14,50.0%,85.7%
Damian Lillard,13-17,76.5%,98-169,58.0%,16.3%,31-87,35.6%,22.6%,86-217,39.6%,58.1%
Harrison Barnes,34-34,100.0%,66-90,73.3%,45.5%,113-293,38.6%,20.4%,49-137,35.8%,83.7%
Terrence Ross,22-28,78.6%,60-87,69.0%,55.0%,83-189,43.9%,27.7%,72-194,37.1%,87.5%
Andre Drummond,80-89,89.9%,130-185,70.3%,66.2%,27-105,25.7%,55.6%,0-2,0.0%,0%
Austin Rivers,3-3,100.0%,82-141,58.2%,13.4%,34-102,33.3%,0.0%,58-159,36.5%,39.7%
Meyers Leonard,51-56,91.1%,109-144,75.7%,79.8%,60-136,44.1%,50.0%,1-11,9.1%,100.0%
Jeremy Lamb,23-24,95.8%,67-85,78.8%,65.7%,79-158,50.0%,35.4%,71-211,33.6%,83.1%
Kendall Marshall,0-0,0%,35-53,66.0%,8.6%,42-93,45.2%,4.8%,28-79,35.4%,64.3%
John Henson,55-57,96.5%,83-115,72.2%,75.9%,122-295,41.4%,69.7%,0-0,0.0%,0%
Anthony Bennett,53-58,91.4%,100-140,71.4%,62.0%,56-129,43.4%,76.8%,36-94,38.3%,97.2%
Victor Oladipo,35-36,97.2%,127-182,69.8%,35.4%,25-54,46.3%,24.0%,30-68,44.1%,83.3%
Otto Porter Jr.,8-8,100.0%,60-88,68.2%,51.7%,65-161,40.4%,67.7%,43-101,42.6%,86.0%
Cody Zeller,56-61,91.8%,149-238,62.6%,56.4%,50-115,43.5%,38.0%,0-2,0.0%,0%
Alex Len,67-71,94.4%,127-174,73.0%,63.8%,45-142,31.7%,60.0%,1-8,12.5%,100.0%
Nerlens Noel,48-50,96.0%,76-99,76.8%,52.6%,22-67,32.8%,40.9%,0-0,0.0%,0%
Ben McLemore,44-45,97.8%,90-126,71.4%,51.1%,35-100,35.0%,48.6%,73-174,42.0%,93.2%
Kentavious Caldwell-Pope,15-16,93.8%,63-94,67.0%,34.9%,39-112,34.8%,38.5%,84-224,37.5%,58.3%
Trey Burke,9-9,100.0%,67-105,63.8%,19.4%,109-246,44.3%,7.3%,74-193,38.3%,48.6%
CJ McCollum,3-3,100.0%,34-63,54.0%,38.2%,29-67,43.3%,13.8%,33-64,51.6%,66.7%
Michael Carter-Williams,20-24,83.3%,86-146,58.9%,18.6%,34-126,27.0%,5.9%,35-121,28.9%,62.9%
Steven Adams,29-33,87.9%,85-129,65.9%,62.4%,15-46,32.6%,60.0%,0-0,0.0%,0%
Kelly Olynyk,25-28,89.3%,152-212,71.7%,55.3%,48-91,52.7%,41.7%,9-29,31.0%,88.9%
Shabazz Muhammad,24-26,92.3%,79-124,63.7%,54.4%,82-226,36.3%,50.0%,40-105,38.1%,100.0%
Andrew Wiggins,36-40,90.0%,92-132,69.7%,47.8%,54-161,33.5%,18.5%,43-126,34.1%,76.7%
Jabari Parker,61-66,92.4%,124-199,62.3%,51.6%,74-193,38.3%,50.0%,38-106,35.8%,89.5%
Joel Embiid,30-30,100.0%,80-99,80.8%,70.0%,25-65,38.5%,64.0%,1-5,20.0%,100.0%
Aaron Gordon,54-56,96.4%,137-198,69.2%,55.5%,36-140,25.7%,36.1%,16-45,35.6%,87.5%
Marcus Smart,16-18,88.9%,78-110,70.9%,32.1%,36-113,31.9%,27.8%,49-164,29.9%,61.2%
Julius Randle,37-40,92.5%,132-197,67.0%,31.1%,61-176,34.7%,23.0%,3-18,16.7%,100.0%
Nik Stauskas,15-17,88.2%,53-87,60.9%,32.1%,40-99,40.4%,27.5%,92-208,44.2%,71.7%
Noah Vonleh,24-27,88.9%,73-122,59.8%,39.7%,24-61,39.3%,25.0%,16-33,48.5%,93.8%
Elfrid Payton,21-24,87.5%,169-247,68.4%,24.9%,36-137,26.3%,5.6%,14-54,25.9%,35.7%
Doug McDermott,9-9,100.0%,159-229,69.4%,64.8%,75-183,41.0%,44.0%,96-214,44.9%,90.6%
Zach LaVine,21-25,84.0%,51-90,56.7%,47.1%,28-68,41.2%,25.0%,48-129,37.2%,85.4%
T.J. Warren,37-37,100.0%,192-251,76.5%,47.4%,120-286,42.0%,35.0%,31-116,26.7%,93.5%
Karl-Anthony Towns,22-24,91.7%,87-121,71.9%,43.7%,56-128,43.8%,41.1%,2-8,25.0%,50.0%
D'Angelo Russell,4-4,100.0%,70-110,63.6%,35.7%,66-174,37.9%,25.8%,95-232,40.9%,54.7%
Jahlil Okafor,64-67,95.5%,213-270,78.9%,54.0%,66-150,44.0%,34.8%,0-0,0.0%,0%
Willie Cauley-Stein,69-74,93.2%,106-141,75.2%,67.9%,30-96,31.3%,40.0%,0-0,0.0%,0%
Stanley Johnson,16-16,100.0%,64-119,53.8%,39.1%,67-155,43.2%,22.4%,43-116,37.1%,81.4%
Frank Kaminsky,31-34,91.2%,137-180,76.1%,49.6%,88-207,42.5%,19.3%,42-101,41.6%,95.2%
Justise Winslow,24-25,96.0%,112-163,68.7%,31.3%,15-85,17.6%,13.3%,46-112,41.1%,93.5%
Myles Turner,11-13,84.6%,40-54,74.1%,65.0%,60-141,42.6%,63.3%,17-62,27.4%,76.5%
Trey Lyles,28-30,93.3%,69-88,78.4%,56.5%,44-123,35.8%,61.4%,4-29,13.8%,75.0%
Devin Booker,8-9,88.9%,42-59,71.2%,57.1%,35-88,39.8%,28.6%,58-141,41.1%,98.3%
